GO:0004022	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:99287;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:7955;NCBITaxon:3702;NCBITaxon:7227;
GO:0071144	NCBITaxon:9606;
GO:0060219	NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;
GO:0008203	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:185431;NCBITaxon:9913;NCBITaxon:83332;NCBITaxon:9606;
GO:0045828	NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:3702;
GO:2000191	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9823;NCBITaxon:6239;NCBITaxon:9606;
GO:0010933	NCBITaxon:10090;
GO:1902623	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;
GO:0046293	NCBITaxon:9606;
GO:0071027	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:7227;
GO:1904661	NCBITaxon:9031;
GO:0032610	NCBITaxon:10090;
